Topic Number,Score,Documents
0,0.0573051201293763,21516    26340    32206    32817    39562    40080    41642    56365    59979    60629    60814    64684    74943    79442    83030    83350    8764    92108    93370    941    96195    96503    172833    130788    125067    134877    140172    14564
1,0.005408687475255016,181008
2,0.2364480286753283,181486    182403    183438    184921    185625    185720    186220    186602    19809    20818    26080    26340    26463    27555    27586    30207    32165    32206    32541    32817    33216    33321    34607    35258    35702    37170    37447    39562    40080    40421    41642    41825    48279    48974    49813    51733    52010    53404    53477    55629    56051    56147    60629    60814    64017    64214    65259    6623    66914    67434    6826    74943    75747    75924    7704    77733    78392    78987    79442    79590    82770    85114    8632    88654    88730    89364    89644    93370    941    95252    96195    96503    112541    114479    115208    118678    122392    123232    14763    150422    15100    151739    154800    157    158413    158871    16080    161161    16278    166759    167238    167934    16905    169315    169784    171465    172129    17282    173075    173603    174034    175688    176283    176288    176926    180864    130640    103746    102824    103411    100069    125067    125723    127405    131857    134877    14260    142694    143184    14430    14564    146214    107210    108762    110714
3,0.028950045268054118,186602    27586    28848    30207    39527    45112    45572    48279    54370    77733    78987    176288    180864    100069
4,0.013568781263084282,20818    48974    53404    127405    142694
5,0.08931456339631227,184921    186220    19809    26340    27586    28848    28857    30207    32817    33216    36894    45053    45112    48279    51733    56147    58184    59979    64684    67434    70254    78392    82770    8764    941    95252    96195    114479    123232    151449    151739    154800    157    16080    16905    17282    173075    173603    17572    100285    104210    141102    14430    108762
6,0.03432034002820761,181486    183438    185720    41642    56109    6826    70181    7297    82332    88730    96503    98618    114479    115208    125723    104210    107084
7,0.06321504027626627,19809    30144    32541    34607    37170    37487    39562    41825    55629    56365    64017    64684    65259    67434    75747    75924    79442    79590    83030    8632    89644    98618    112541    122392    159684    161161    16278    169315    169784    175688    130640    130788    100285    134877    13992    141657    104210
8,0.01481979303637376,56365    65259    85114    15100    158413    167934    110714    127405
9,0.027947263655141198,24099    32206    51274    64684    75747    83350    150422    16080    16278    180864    103746    131528    141102    143184    108762
10,0.0192819863872729,36931    39562    53477    61360    79590    82770    83350    16278    169315    103411
11,0.03207688785581578,26340    26449    26463    32165    51974    64214    75924    92108    151449    16278    130788    131857    14260    145581
12,0.0052500150694239954,111419
13,0.13360403908999366,181486    186220    21516    26449    26463    28325    28857    30207    32165    32206    33216    33321    35258    36931    40421    41825    45053    48279    51274    55629    56051    56109    56147    58184    61360    64017    64684    6623    70181    75747    77733    78392    79590    81236    82332    82770    85114    88654    89364    92108    93370    95252    96195    120109    123232    151449    157    158413    158871    16080    161161    166759    169784    171465    173075    176926    129772    100285    102824    103746    130788    131528    131857    134877    140172    142220    14430    145581    14564    104210    107210
14,0.0350127284326147,26080    27555    28848    30144    35702    56051    56109    56147    66914    7297    79442    83350    8632    89644    112541    118678    14763    150422    175688    176288    100069
15,0.014323302702345378,32541    37170    45572    150422    176926    123937    141102    142694
16,0.005723809710668424,7297    180129
17,0.010057412264188178,22043    146214
18,0.008753836385485571,37487    18013
19,0.05957179394731111,182403    185720    187033    36894    37447    45053    49813    52010    55629    64017    66914    70181    7297    78392    78987    85114    148459    151739    154800    167238    172129    175688    176283    129772    13992    141657    14260
