Topic Number,Score,Documents
0,0.00546448087431694,24099
1,0.00546448087431694,180864
2,0.01092896174863388,127405    77733
3,0.01092896174863388,79590    96503
4,0.0273224043715847,167238    176283    32165    59979    7297
5,0.00546448087431694,110714
6,0.01639344262295082,166759    181486    74943
7,0.00546448087431694,175688
8,0.04918032786885246,125067    142220    151739    32206    32817    40080    41642    6623    941
9,0.00546448087431694,37487
10,0.00546448087431694,6826
11,0.01092896174863388,18013    37487
12,0.03278688524590164,182403    185720    20818    52010    66914    78392
13,0.02185792349726776,16278    175688    26080    82770
14,0.00546448087431694,45572
15,0.01639344262295082,114479    154800    28325
16,0.12021857923497267,102824    13992    142694    14763    172129    174034    175688    26080    30144    32541    39562    41825    51733    55629    56051    64684    75924    77733    79442    79590    82770    83030
17,0.13114754098360656,100285    108762    114479    123937    130788    151739    157    166759    16905    176926    28857    30207    32541    37170    45053    45112    51974    67434    75747    79590    81236    88654    92108    95252
18,0.0273224043715847,114479    125723    131528    41642    88730
19,0.01092896174863388,140172    56365
20,0.00546448087431694,82332
21,0.24043715846994534,103746    104210    107084    120109    123232    131857    140172    143184    145581    151449    157    158413    16080    161161    16278    17572    176926    181486    186220    20818    21516    28325    28857    32165    33216    33321    36931    39527    39562    45112    56051    56147    58184    60629    61360    64017    64684    6623    70181    79590    81236    83030    8632    92108
22,0.00546448087431694,143184
23,0.01092896174863388,56109    6623
24,0.04371584699453552,14564    16080    17572    176283    19809    30207    45053    58184
25,0.01639344262295082,26463    32165    51974
26,0.060109289617486336,166759    173075    184921    185625    40421    45053    48279    55629    77733    81236    89364
27,0.02185792349726776,110714    130788    32206    65259
28,0.01092896174863388,158413    56109
29,0.00546448087431694,37170
30,0.00546448087431694,176283
31,0.01639344262295082,13992    32541    7297
32,0.06557377049180328,115208    150422    154800    158871    174034    30144    56051    56109    56365    60629    60814    66914
33,0.01639344262295082,13992    185720    56365
34,0.04371584699453552,100069    112541    118678    16905    169315    56365    67434    89644
35,0.01639344262295082,45112    83350    93370
36,0.03278688524590164,151739    172129    36894    55629    66914    70181
37,0.01639344262295082,110714    15100    181486
38,0.03278688524590164,130640    14260    28325    40421    56147    64017
39,0.00546448087431694,181008
40,0.00546448087431694,22043
41,0.02185792349726776,123937    39527    48279    78987
42,0.00546448087431694,53477
43,0.00546448087431694,107084
44,0.01092896174863388,167934    85114
45,0.04371584699453552,125067    141657    167238    182403    187033    37447    45053    49813
46,0.00546448087431694,145581
47,0.00546448087431694,48974
48,0.01639344262295082,114479    32206    8764
49,0.01092896174863388,27586    83350
50,0.0273224043715847,14430    19809    33216    8764    941
51,0.03825136612021858,122392    150422    169784    26449    26463    28857    33321
52,0.01092896174863388,100069    40080
53,0.07103825136612021,103746    112541    130640    130788    171465    172833    33321    41825    45572    77733    79590    93370    96195
54,0.01092896174863388,104210    120109
55,0.01639344262295082,176288    30207    39527
56,0.04371584699453552,107210    131857    142220    14564    157    158871    183438    58184
57,0.0273224043715847,172833    32817    41642    60814    8764
58,0.00546448087431694,183438
59,0.01639344262295082,159684    171465    34607
60,0.12568306010928962,100285    104210    123232    141102    151739    154800    158871    16905    17282    173075    184921    186220    28848    35258    36894    48279    51733    56147    59979    64684    70254    75747    96195
61,0.00546448087431694,125067
62,0.07650273224043716,122392    134877    13992    141657    159684    175688    30144    32541    37170    64017    65259    78392    83030    89644
63,0.02185792349726776,161161    56147    61360    75924
64,0.00546448087431694,129772
65,0.00546448087431694,53404
66,0.01092896174863388,151449    8764
67,0.00546448087431694,64214
68,0.01639344262295082,123937    148459    45572
69,0.01639344262295082,123232    17572    176926
70,0.01092896174863388,100069    27555
71,0.01092896174863388,180864    54370
72,0.00546448087431694,111419
73,0.02185792349726776,100285    40421    81236    98618
74,0.01092896174863388,32541    98618
75,0.00546448087431694,146214
76,0.00546448087431694,18013
77,0.01092896174863388,123232    30207
78,0.01639344262295082,14763    35702    8632
79,0.01092896174863388,8632    98618
80,0.01639344262295082,115208    26340    48974
81,0.01092896174863388,130640    79442
82,0.03278688524590164,107210    118678    158413    33321    51274    75747
83,0.0273224043715847,102824    131528    134877    64017    88654
84,0.01092896174863388,141102    51274
85,0.01639344262295082,15100    39562    7704
86,0.01639344262295082,148459    16278    169784
87,0.5573770491803278,100069    103411    107210    108762    112541    114479    115208    118678    120109    122392    123232    123937    125067    125723    129772    130640    131528    131857    134877    14260    142694    143184    14430    145581    14564    14763    148459    150422    15100    151739    157    158871    16080    161161    16278    167238    16905    169315    169784    171465    17282    173603    174034    176288    181486    182403    183438    185625    185720    186602    187033    19809    26080    26340    26449    26463    27555    30207    32165    32541    33216    34607    35258    35702    37447    39527    39562    40080    40421    41825    45572    49813    51274    51974    52010    53477    55629    64017    64214    65259    6623    67434    6826    74943    75747    75924    7704    77733    78392    82770    85114    8764    88654    88730    89364    89644    92108    93370    941    95252    96195    96503
88,0.01639344262295082,169315    21516    26340
89,0.01639344262295082,142694    161161    35258
90,0.00546448087431694,180129
91,0.13114754098360656,118678    130788    141657    142694    15100    161161    166759    167934    176288    186220    20818    32541    40080    41642    53404    53477    60629    64684    74943    78987    83350    93370    96195    96503
92,0.00546448087431694,103411
93,0.0273224043715847,186602    27586    28848    30207    45112
94,0.00546448087431694,127405
95,0.03278688524590164,131857    14260    151449    26080    51974    70254
96,0.01639344262295082,184921    32206    36931
97,0.02185792349726776,56147    64684    77733    82770
98,0.00546448087431694,30144
99,0.060109289617486336,154800    169315    173603    185625    27586    30207    36894    49813    65259    79442    96503
