Topic Number,Score,Documents
0,0.00026470724606655996,SO_17529082    SO_19136448    SO_19695551    SO_19887219    SO_19946287    SO_20779629    SO_2174865    SO_7459873    SO_7522768    SO_8233235    SO_9409803    SO_11254424    SO_11293161    SF_295773    SO_10585533    SO_14453351    SO_14525004    SO_13386567    SO_12218280    SO_10939829    SO_15166063    SO_15911421    SO_11766779    SO_11973895    SO_12022642    SO_11452327    SO_10646303    AE_108762
1,0.00045218391454411767,SO_16403031    SO_16688502    SO_17520504    SO_17777156    SO_17918484    SO_18284400    SO_19090313    SO_19325573    SO_19387135    SO_20681396    SO_20890115    SO_20921261    SO_21252653    SO_21970156    SO_22257956    SO_22261767    SO_22402445    SO_22667362    SO_22670818    SO_2594689    SO_3583757    SO_6516294    SO_9262757    SO_9478811    SO_13731496    SO_13732545    SO_14057920    SO_13362043    SO_13492254    SO_13608395    SF_700805    SO_15903535    SO_15933088    SF_797039    SF_803175    SF_803785    SF_805189    SF_807283    SF_530106    SF_570313    SF_754133    SF_523472    SF_644162    SF_646484    SF_589942    SF_671629    SF_685613    SF_659146    SF_759583
2,0.003066355214046695,SF_197321    SF_278418    SF_504384    SO_1075387    SO_16419922    SO_16574654    SO_16620860    SO_16631737    SO_16706481    SO_16725932    SO_16739035    SO_16777084    SO_16811683    SO_16931341    SO_16949771    SO_16980081    SO_17054804    SO_17090563    SO_17092991    SO_17122612    SO_17127721    SO_17133437    SO_17136776    SO_17351851    SO_17407850    SO_1744365    SO_17688522    SO_17726372    SO_17758404    SO_17801224    SO_17822383    SO_1786027    SO_17862370    SO_1788641    SO_17910094    SO_17911312    SO_17934530    SO_18083450    SO_18113002    SO_18127728    SO_1813290    SO_18146763    SO_18174917    SO_18209973    SO_18275844    SO_1832660    SO_18346087    SO_18375189    SO_18435363    SO_18483440    SO_18517126    SO_18535873    SO_18562479    SO_18592040    SO_18716941    SO_18763258    SO_18798764    SO_18800768    SO_18853897    SO_18868013    SO_18904676    SO_18978316    SO_19012432    SO_19192533    SO_1926713    SO_19268462    SO_19313422    SO_19316796    SO_19323884    SO_19350884    SO_19394056    SO_19445812    SO_19453857    SO_19546900    SO_19549230    SO_19558467    SO_19565685    SO_19577707    SO_19654087    SO_19709587    SO_1977405    SO_19803351    SO_19833198    SO_19916211    SO_19924900    SO_19945008    SO_19954857    SO_1999382    SO_20055858    SO_20099362    SO_20128049    SO_20130244    SO_20130864    SO_20161995    SO_20195788    SO_20260921    SO_2041641    SO_20516490    SO_20621743    SO_20656342    SO_20710765    SO_20734773    SO_20779822    SO_20929411    SO_20975383    SO_2107220    SO_21110868    SO_21141472    SO_2115383    SO_2117353    SO_21251552    SO_21312170    SO_2137917    SO_21380530    SO_21444264    SO_21471190    SO_21579016    SO_215896    SO_21789066    SO_21791433    SO_2182703    SO_21954623    SO_21980871    SO_22011879    SO_22063835    SO_22076480    SO_22095408    SO_22124601    SO_22142539    SO_22182994    SO_22190048    SO_22261046    SO_22403963    SO_2247922    SO_22571465    SO_2288876    SO_2351267    SO_2354191    SO_2366465    SO_2562233    SO_2657348    SO_2666638    SO_2713148    SO_273307    SO_2747244    SO_2778562    SO_2810348    SO_2880819    SO_2881854    SO_2893650    SO_2908726    SO_3032486    SO_3042728    SO_3103082    SO_3198343    SO_3218895    SO_3268376    SO_3290292    SO_3307170    SO_3328688    SO_3340268    SO_3343612    SO_3356330    SO_3358235    SO_3427868    SO_3544903    SO_3637887    SO_3688382    SO_3695257    SO_3719545    SO_3720896    SO_3721028    SO_3788082    SO_3816543    SO_3912542    SO_391269    SO_3956199    SO_4051596    SO_4053948    SO_4096336    SO_4127234    SO_4157827    SO_417216    SO_4244432    SO_4314912    SO_4318111    SO_4318583    SO_4319961    SO_4339891    SO_437562    SO_4395744    SO_4427936    SO_4435193    SO_4652751    SO_4658409    SO_4685148    SO_4690670    SO_4727694    SO_4741037    SO_4744874    SO_4787050    SO_4797422    SO_4902814    SO_4923447    SO_4977060    SO_4980918    SO_4988485    SO_5007222    SO_5019902    SO_5092945    SO_5237486    SO_5347141    SO_5347870    SO_5408120    SO_5438951    SO_5459719    SO_5463074    SO_5548128    SO_5563393    SO_5571035    SO_5596676    SO_5606448    SO_5674291    SO_5759412    SO_5779518    SO_5828507    SO_5879475    SO_589407    SO_5916333    SO_5920940    SO_593244    SO_5941181    SO_5992532    SO_6017014    SO_6081780    SO_6124720    SO_6127985    SO_6170662    SO_6207400    SO_629302    SO_6346371    SO_6386632    SO_6508461    SO_6646590    SO_6665175    SO_6708580    SO_674185    SO_682892    SO_6834347    SO_6835130    SO_6841418    SO_6847862    SO_6981627    SO_7029286    SO_7195197    SO_7261758    SO_7295806    SO_7303547    SO_7328743    SO_7557057    SO_7627113    SO_764505    SO_7654762    SO_7704795    SO_7935491    SO_8001067    SO_8165723    SO_8200130    SO_8227308    SO_8264645    SO_8284135    SO_8302428    SO_840531    SO_8418917    SO_8442119    SO_8483083    SO_8489581    SO_8591652    SO_8620347    SO_8658087    SO_8720508    SO_8822482    SO_8833929    SO_8842260    SO_8915816    SO_8931365    SO_8961066    SO_8972580    SO_8986244    SO_9122456    SO_9164204    SO_9191652    SO_9198092    SO_9200095    SO_9315563    SO_9328932    SO_9496129    SO_9609859    SO_9619695    SO_9623932    SO_9631867    SO_9653507    SO_968437    SO_9688383    SO_9796040    SO_9806915    SO_9892201    SO_990286    SO_9940579    SO_9962630    SU_1034097    SU_1058175    SU_106073    SU_1074581    SU_1128903    SU_1156956    SU_1177051    SU_1258855    SU_145305    SU_149961    SU_167955    SU_168629    SU_218214    SU_226744    SU_258780    SU_270529    SU_30712    SU_317533    SU_360244    SU_379986    SU_445959    SU_558609    SU_740092    SU_749309    SU_826331    SU_830000    SU_89370    SU_931176    SO_10961140    SO_10967429    SO_10983088    SO_10983342    SO_10999407    SO_11152660    SO_11153700    SO_11302635    SF_237935    SO_11533199    SO_11575916    SF_101744    SF_102121    SO_10581405    SF_151344    SF_212354    DB_103750    SF_710981    SF_714282    SO_13742514    SO_13748025    SO_13759863    SO_1380985    SO_13845792    SO_13850089    SO_13873528    SO_13903762    SO_13943541    SO_13947211    SO_13951943    SO_13959061    SO_14020085    SO_14084861    SO_14103105    SO_14162130    SO_14184854    SO_14208001    SO_14250592    SO_1425256    SO_14324706    SO_14353738    SO_14429724    SO_14479199    SF_1845    AE_14564    SF_140168    SO_1293695    SO_131176    SO_13155911    SO_13243008    SO_13295268    SO_13332476    SO_13511475    SO_13608170    SO_136168    SO_13625915    SF_257407    SO_1207423    SO_12177601    SO_12187043    SO_12211116    SO_12223027    SO_12272011    SO_12343359    SO_12346590    SO_12353761    SO_12358727    SO_12407916    SO_12416799    SO_12452536    SO_12515780    SO_12699863    SO_12712329    SO_12761371    SO_12766630    SO_12817484    SO_14610621    SO_14621443    AE_81236    SF_312853    SF_222423    SF_478052    SF_117013    SO_14657891    SO_14701540    SO_14725742    SO_14737605    SO_14837415    SO_14915427    SO_14978701    SO_14984914    SO_15049858    SO_15129798    SO_15140245    SO_1521151    SO_15248271    SO_15258057    SO_15294292    SO_15331193    SO_15340982    SO_153596    SO_15413353    SO_1548561    SO_15524030    SO_15560451    SO_15663966    SO_15739591    SO_15797594    SO_15823951    SO_16011283    SO_16040503    SO_16095855    SO_16151698    SO_16183840    SO_16254345    SO_16267984    DB_55684    SF_716640    SF_815069    SF_82416    SF_154168    SO_1160233    SO_11694591    SO_11726144    SO_11731177    SO_11753551    SO_11757304    SO_1176516    SO_11822581    SO_11825917    SO_1197226    SO_11983355    SO_1198841    SO_12025193    SF_616140    SF_628275    SF_843544    SF_461786    SF_879975    SF_881501    SF_473232    SF_578124    SF_578849    SF_58052    SF_58124    SF_607954    SF_119299    DB_15260    SF_389005    SF_742370    SF_753741    SF_75451    SF_44014    SF_450068    SF_454194    SF_459350    SF_430370    SF_775202    SF_785675    DB_19227    SO_11367719    SO_11403437    SO_11428496    SO_11436173    SO_11446049    SO_11453790    SO_1148239    SF_144020    SF_411280    SE_247278    DB_75410    AE_154800    SF_666070    SF_676921    SF_682639    SF_655623    SE_208052    SF_165199    SO_1089269    DB_30525    SO_12889620    SO_1289258    SO_12897001    SF_495496    SF_315009
3,0.0006171878479253085,SO_16540749    SO_16993397    SO_17171262    SO_17196952    SO_17288889    SO_17687318    SO_17717554    SO_18346087    SO_18486669    SO_19102220    SO_19292175    SO_19572852    SO_19705826    SO_20109179    SO_20192192    SO_20527512    SO_21031357    SO_21321421    SO_21340923    SO_21838674    SO_22332198    SO_22528605    SO_22681389    SO_2948118    SO_3218504    SO_3516410    SO_3535348    SO_402763    SO_4383468    SO_4663262    SO_4809495    SO_5229933    SO_5479910    SO_5569868    SO_5599823    SO_5904828    SO_5990713    SO_625067    SO_6779250    SO_6904452    SO_7094389    SO_721789    SO_7796103    SO_7805061    SO_7820786    SO_7890965    SO_813662    SO_8657153    SO_8858798    SO_9012613    SO_9038472    SO_9222809    SO_9376212    SO_9562622    SO_9619695    SO_9659846    SU_100352    SU_1153055    SU_245093    SU_312603    SU_414343    SU_920942    SF_297651    SF_299191    SF_212120    SO_14162130    SO_1430051    SO_11516190    SO_12959201    SO_13175024    SO_13356413    SO_13648546    SO_12058067    SO_12743397    SO_12760620    DB_183808    SO_15323150    SO_15338455    SO_15524030    SO_16089126    SF_791346    SF_805649    SF_809532    SF_811286    SF_153546    SF_650157    SO_11617088    SO_11625781    SO_11779071    SO_1047930    SF_532183    SF_546826    DB_34034    SF_578192    DB_164255    SF_439456    SF_45516    DB_43099    SF_166976    SF_7776    SF_786449    SO_11504495    SF_522529    SF_278710    SF_339078    SF_339662    SF_663552
4,0.004271807269890222,SO_10180751    SO_10736412    SO_10738726    SO_16286517    SO_1643017    SO_16437953    SO_16540749    SO_16571404    SO_16666009    SO_16678494    SO_16764930    SO_16765502    SO_16898064    SO_16938615    SO_16962737    SO_16974204    SO_16986060    SO_17127801    SO_17138301    SO_17218879    SO_17522891    SO_17566294    SO_17608970    SO_17657499    SO_1768421    SO_17838357    SO_17857723    SO_1786027    SO_18014378    SO_18123233    SO_18145855    SO_18311958    SO_1838390    SO_18435363    SO_18465736    SO_18507007    SO_18529334    SO_18569350    SO_18595305    SO_18643023    SO_18667308    SO_18695624    SO_18727984    SO_18743938    SO_18767669    SO_1878823    SO_18830659    SO_18858707    SO_18868847    SO_19024580    SO_19030192    SO_19071453    SO_19082710    SO_1913803    SO_19178869    SO_19246286    SO_192484    SO_19283764    SO_19323884    SO_19347892    SO_19441399    SO_19489769    SO_19577707    SO_19733972    SO_19798378    SO_19848120    SO_19850985    SO_19853283    SO_19977655    SO_19987099    SO_20015808    SO_2016901    SO_20172758    SO_20200226    SO_20579889    SO_20607730    SO_20925036    SO_2096491    SO_21015731    SO_21062695    SO_21079925    SO_21110868    SO_21121576    SO_21135423    SO_21137477    SO_21162314    SO_21163327    SO_21234688    SO_21462900    SO_21485714    SO_21529590    SO_21581390    SO_21607305    SO_21609151    SO_21822466    SO_21842962    SO_21848711    SO_21858691    SO_21895170    SO_21941714    SO_21962419    SO_21966839    SO_22119607    SO_22124870    SO_22220286    SO_22247676    SO_22313343    SO_22415347    SO_22477982    SO_22479096    SO_22510799    SO_22534116    SO_22541261    SO_22588648    SO_2282952    SO_2347174    SO_2400423    SO_2434726    SO_2463722    SO_2478205    SO_2495360    SO_2500586    SO_2547211    SO_2557564    SO_2561639    SO_2606822    SO_2694402    SO_2729556    SO_2745041    SO_278192    SO_2787253    SO_2795994    SO_2798822    SO_2899187    SO_2941567    SO_2976665    SO_2978947    SO_3019235    SO_3032251    SO_3194240    SO_3197416    SO_3346697    SO_3431862    SO_350753    SO_359665    SO_3606032    SO_3650393    SO_3793643    SO_4000754    SO_4001451    SO_4039417    SO_4259996    SO_4393527    SO_4428881    SO_4435193    SO_4479225    SO_4494399    SO_4573489    SO_4600229    SO_4600445    SO_4615887    SO_4629358    SO_462974    SO_4632422    SO_4649356    SO_472814    SO_4786972    SO_5061846    SO_5089246    SO_5136048    SO_5248671    SO_5382255    SO_5419668    SO_5432559    SO_5435762    SO_5484481    SO_5602204    SO_5738346    SO_5874233    SO_5889878    SO_5891531    SO_5954239    SO_5958905    SO_5977525    SO_6134476    SO_6207400    SO_6260299    SO_6327276    SO_6332373    SO_6430442    SO_6527900    SO_6535150    SO_6547199    SO_6628624    SO_6653334    SO_6683067    SO_6740119    SO_6780853    SO_6827723    SO_6915969    SO_6924922    SO_6950196    SO_7055581    SO_7069527    SO_7124914    SO_7157312    SO_7208019    SO_7387612    SO_7430093    SO_7499938    SO_7519725    SO_7588293    SO_7784789    SO_7970341    SO_7993082    SO_8108573    SO_8136864    SO_8182389    SO_8186468    SO_8339061    SO_8401654    SO_8411686    SO_8414940    SO_8481914    SO_8516245    SO_8576503    SO_8796522    SO_8803111    SO_8822482    SO_8824863    SO_8893585    SO_8979189    SO_9052152    SO_9163368    SO_9184378    SO_9191652    SO_9244278    SO_9366960    SO_9402246    SO_9437182    SO_9483757    SO_9487077    SO_9505097    SO_9525198    SO_955976    SO_9568246    SO_9725531    SO_9772154    SO_9778786    SO_9823923    SU_1017733    SU_1241629    SU_171526    SU_423209    SU_547959    SU_70853    SO_10987341    SO_11008318    SO_11020227    SO_11149541    SO_11159533    SO_11212571    SO_11268646    SO_11297205    SO_11301244    SO_11307115    SO_11351091    SO_11533199    SO_11563346    SO_10585498    SF_484585    SO_1370506    SO_13742514    SO_13777171    SO_13850089    SO_13938779    SO_13941976    SO_13954376    SO_13965391    SO_13970621    SO_13991959    SO_14104998    SO_14154524    SO_14206505    SO_14243380    SO_14375938    SO_1441010    SO_1441156    SO_10063407    SO_10381572    SO_10015754    SO_10022722    SF_529291    SO_11513192    SO_13182017    SO_13291182    SO_13398040    SO_13494135    SO_13496001    SO_1351276    SO_13537734    SO_13544378    SO_13547838    SO_13642432    SO_10345182    SO_12114519    SO_12219604    SO_12251186    SO_12272011    SO_1230084    SO_12309841    SO_12325525    SO_12325703    SO_12345262    SO_12356743    SO_12527960    SO_12569394    SO_12593113    SO_12631720    SO_12712775    SO_12743397    SO_14589090    SO_14614511    SO_14618022    SO_14629024    SO_1085216    SO_10862830    SO_10903584    SO_14639202    SO_14769958    SO_1486819    SO_14988929    SO_15079209    SO_15157523    SO_15249285    SO_15250012    SO_15283713    SO_15348300    SO_15376649    SO_15447899    SO_15505183    SO_15506250    SO_15521255    SO_1554342    SO_15590226    SO_15595832    SO_15731410    SO_15797388    SO_15807522    SO_15834839    SO_15897818    SO_15901548    SO_15973182    SO_15998908    SO_16040503    SO_16083056    SO_16100743    SO_16165993    SO_16203545    DB_77713    SO_1161609    SO_11676210    SO_11719936    SO_11726144    SO_11829947    SO_11898882    SO_11935779    SO_11992785    SF_83839    SO_10478210    SF_16983    SO_10593229    SF_47038    SF_200349    SF_152464    SO_10248137    SO_1136265    SO_11436214    SO_11471836    SO_11479757    SF_412435    SO_10649106    SO_10680703    SF_670300    SF_672885    SO_12876358
5,0.00024446144341832605,SO_10785560    SO_16506287    SO_16575982    SO_16881084    SO_17095387    SO_17264378    SO_17828152    SO_18309111    SO_20781850    SO_21475576    SO_21998358    SO_2957905    SO_3349196    SO_3687384    SO_3710073    SO_4056958    SO_4268906    SO_4347797    SO_5054957    SO_5469279    SO_5645440    SO_6029454    SO_6190127    SO_6421007    SO_8546995    SO_8550033    SO_8745161    SO_9269457    SO_9968650    SO_13244710    SO_1358926    SO_12344824    SO_12347550    SO_15531753    SO_15645647    SO_1585520    SO_1601665    SO_16168304    SO_10103579    SO_10449791    SO_11372993    SO_10625526
6,0.00010639269132418092,SO_20678854    SO_3135228    SO_4409101    SO_8978321    SO_9604554    SO_9653146    SO_11191398    SO_13914127    SO_14067297    SO_13223030    SO_15426142    SO_16032172    SF_264272    SO_11749974    SF_581630
7,0.0003839429264237713,SO_16287126    SO_16485444    SO_16705125    SO_16756968    SO_16987788    SO_16995769    SO_17391351    SO_17609520    SO_18131136    SO_18288001    SO_18491566    SO_19848120    SO_2027909    SO_20301534    SO_20561819    SO_20944909    SO_21438697    SO_21713626    SO_22044168    SO_2941567    SO_3234517    SO_3594977    SO_3718101    SO_3791530    SO_4044132    SO_4977322    SO_5180398    SO_5510612    SO_6487841    SO_6891348    SO_7139340    SO_7348524    SO_7387612    SO_7830358    SO_7948204    SO_8355632    SO_8796522    SO_9436588    SO_964665    SO_9788076    SU_1147231    SU_1267831    SU_476212    SO_11117916    SO_11124821    AE_48974    SF_708309    SO_13742514    SO_14024486    SO_14529349    SO_13291182    SO_12090788    SO_12219604    SO_12277940    SO_12413137    SO_12818810    SF_691755    SO_15065497    SO_15326033    SO_15326658    SF_829229    SO_11840426    SF_840271    SF_106980    SF_676692    SF_681293    SF_495496    SF_231201
8,0.0021162355395613034,SF_193100    SO_10171764    SO_1017979    SO_10749716    SO_10759602    SO_10783018    SO_16365806    SO_16381147    SO_16411910    SO_16495667    SO_16502059    SO_16568483    SO_16794468    SO_16836528    SO_16969422    SO_1698066    SO_17026769    SO_17218655    SO_17256039    SO_17341380    SO_17388143    SO_1749243    SO_17827923    SO_17941094    SO_18057825    SO_18131808    SO_18340786    SO_18631241    SO_18694202    SO_18706934    SO_18906126    SO_18932676    SO_19037369    SO_1906510    SO_19317993    SO_19555782    SO_19653146    SO_19659874    SO_19660466    SO_19688746    SO_19715953    SO_19725426    SO_19898688    SO_20076531    SO_20115931    SO_20218822    SO_20238972    SO_20242486    SO_20276509    SO_2054543    SO_20565688    SO_20609806    SO_20626653    SO_2067185    SO_20675807    SO_20716929    SO_20944909    SO_21054331    SO_21433618    SO_21455911    SO_21471190    SO_21512734    SO_21643544    SO_21728833    SO_21809722    SO_21815017    SO_21845065    SO_21887741    SO_22033134    SO_22076480    SO_22125234    SO_22165053    SO_22272521    SO_22400660    SO_22536466    SO_2400423    SO_2407013    SO_2407123    SO_2552209    SO_2659923    SO_2726506    SO_2731871    SO_2740168    SO_2797592    SO_2857856    SO_3176316    SO_3389169    SO_3549605    SO_3585856    SO_3752104    SO_3833702    SO_3866424    SO_3895872    SO_4000881    SO_4151147    SO_4170515    SO_4607877    SO_464580    SO_4675889    SO_472814    SO_4812577    SO_4849335    SO_5027371    SO_5082846    SO_5171931    SO_524525    SO_5452847    SO_5490109    SO_5501305    SO_5766073    SO_5785931    SO_5792227    SO_6112863    SO_6124443    SO_6196086    SO_6252947    SO_6266985    SO_6267903    SO_6289032    SO_6432729    SO_644166    SO_6460420    SO_6496662    SO_6632642    SO_6638773    SO_666573    SO_6680370    SO_6702585    SO_6752867    SO_6766715    SO_679548    SO_6798580    SO_6813632    SO_6821029    SO_6840177    SO_6866773    SO_7043141    SO_7104004    SO_7171114    SO_7204990    SO_7208803    SO_737839    SO_7524176    SO_7693821    SO_7734730    SO_7945525    SO_7993544    SO_8066081    SO_8081982    SO_8103721    SO_8121004    SO_8554172    SO_8606492    SO_8619503    SO_8889755    SO_8914938    SO_8929859    SO_8933043    SO_9005665    SO_9028825    SO_9226576    SO_9271758    SO_9276779    SO_9330226    SO_955578    SO_960979    SO_9687430    SO_9874965    SO_9910352    SU_1008568    SU_1045649    SU_1047482    SU_1053990    SU_1093427    SU_1217233    SU_1267786    SU_183943    SU_334483    SU_337371    SU_427352    SU_430596    SU_463828    SU_614135    SU_641334    SU_667996    SU_686421    SU_724050    SU_739509    SU_751166    SU_804633    SU_831957    SU_869419    SU_884639    SU_976818    DB_21666    SO_10957584    SO_1099768    SO_11002245    SO_11021542    SO_11104546    SO_11569189    SO_1029047    SF_151479    DB_103820    SF_710853    SF_487370    SF_487379    SO_13729586    SO_13758337    SO_13799486    SO_13801115    SO_13834727    SO_13845781    SO_14045204    SO_14105481    SO_14158436    SO_14247245    SO_14283970    SO_14309166    DB_176079    DB_151367    SO_10060949    DB_119141    SF_138790    SF_14012    SO_10383779    SO_10403359    SF_525610    SO_11516190    SO_12946480    SO_1295022    SO_13173910    SO_13238832    SO_13276331    SO_13324309    SO_13333994    SO_13632502    SO_13644730    SF_592976    SF_258595    SO_12097923    SO_12119081    SO_12311062    SO_12406260    SO_12498019    SO_12566696    SO_12616273    SO_12618911    SO_14629758    SO_10844921    SO_10858461    SF_686792    SF_686978    SF_702544    AE_125067    SF_482574    SO_14659036    SO_14726781    SO_14843417    SO_14867046    SO_14899130    SO_15090416    SO_15110701    SO_15142687    SO_15203809    SO_15382056    SO_15618010    SO_1563667    SO_15696947    SO_15723503    SO_15886766    SO_15992497    SO_16050821    SO_16121336    SO_16178521    SO_16190375    DB_78155    DB_81092    DB_56259    SO_11761789    SO_11795217    SO_11997218    SF_631213    SF_841309    SF_846841    SO_1047930    SF_171956    SF_856516    SF_94466    SF_470007    SF_470664    SF_136500    SF_613267    SF_118984    SF_376719    SF_388959    SF_389166    SF_397506    SF_742117    SF_754830    SF_754860    SF_446883    SO_10036740    DB_112611    SF_636412    SF_647153    SF_318662    SF_322870    AE_45053    SF_586539    SF_586619    SF_59253    SO_11368001    SO_11456774    SF_522515    SF_408843    AE_187033    SE_232951    SO_10673036    DB_135955    SF_278710    SO_10316813    SF_328263    SF_335736    SF_415464    SF_423761    SF_65255    SF_660771    DB_30525    DB_85982    DB_94625    SO_12881029
9,0.00022588203615500543,SO_16729076    SO_20529019    SO_20604448    SO_20804773    SO_22535921    SO_3157340    SO_3505276    SO_3961875    SO_4198799    SO_4318583    SO_5942683    SO_6352451    SO_6873289    SO_6946934    SO_7116705    SO_8237957    SO_9093866    SO_9198092    SO_14451483    SO_13425735    SO_10337974    SO_12497809    SO_12731991    SO_14602368    SO_14716365    SO_15025654    SO_15190909    SO_11686547    SO_1198841    SF_625050    SO_10594622    SF_202095
