Topic Number,Score,Documents
0,0.0010236779515933006,29585    29748    135488    191578    86911    128993    121218
1,0.000573093472906729,90353    132545    33654
2,0.0002104255741547675,62157
3,0.0004595336762190324,166833    51873
4,0.015310468010408107,119020    73813    142499    142609    82732    165457    131272    190224    39535    40833    98287    189656    91494    91785    91929    72421    25464    101146    144474    176172    37065    132309    132490    62379    136438    84219    84774    86393    8821    89575    175698    168722    126503    107655    43518    55141    55418    132545    76414    10153    102181    171810    21911    19455    130843    48705    49021    72273    162628    33118    45876    58215    17295    173828    177194    16787    168283    111959    146500    108632    23505    60871    128000    31581    133637    124382    186596    187138    187254    185309    133197    149550    134128    159876    52005    152966    153794    175135    75965    75999    117765    94587    94779    118515    99308    120109
5,9.650737254497603e-05,94455
6,0.00033617900347312346,59212
7,0.000633018625447462,132570    31108    167229
8,0.0001722926473245163,135940
9,0.004131337927059275,101651    103062    165574    104927    146806    105269    122270    49409    164635    156496    44978    149754    9591    156879
10,0.0014392985445926874,73813    40612    132309    164570    78654    185309    12474    94587    124382    15747
11,0.0001856308608977685,20361
12,0.0005350974050392073,173833
13,0.0004433472354286,94286    172807
14,0.00022933951583941798,101185    101119
15,0.002175793778148712,29748    30340    28693    87543    131109    107792    10120    116711    128261    177194    60403    61606    80709    182447    138827    13365
16,0.0002023238145746838,40103    166331
17,0.0007729558998854194,20272    151095    59180    161789    94659
18,0.001173978319448044,77510    77641    145627    175350    121181    35335    11515    139128    5435
19,0.00040893894982326607,82374    171943    53371
20,0.0007445364451499784,118610
21,0.0005803814966779461,21569    126503    119831    19748    35182
22,0.0003413155267108761,91785    94272    120751
23,0.0009303590404134564,10153    45765    45932    56363    173447    34086    183494
24,0.00013814493636002,151367
25,0.0013858886529990735,21666    131294    144474    176566    145617    46024    56360    112878    107602    150028
26,0.00047021509807965763,77640    63618
27,0.0002836451464671784,98259    34586    11284
28,0.0010208202255521197,16339    87692    30930    130186    179627    58823    120215
29,0.0003196253631918942,120896
30,0.0014420741863790851,107362    159487    57356    106698    172807    58823    62134    31838    138585    15255    120109
31,0.0030108172228716645,76687    142760    140461    40599    146293    191957    159528    87221    1261    15756    124678    121181    182970    33889    173789    108471    111247    164243    184430    133685    159673    75308
32,0.0002643535256531248,167467    127515
33,0.00038612668283357406,184984    159528    159673
34,0.00012120717604800067,55684
35,0.0005920287659275274,157707    106489    1613
36,0.0004690837141755173,21225
37,0.0006716783486147556,39221    67995    167720    132490
38,0.000669928737907981,116154    68194    139982    173700    104047
39,0.0002921202483209749,149782
40,0.0002284621456792998,90761
41,0.00027630669521812854,153758    14167
42,0.000162851708884919,76394
43,0.002831905597569981,97590    6996    8821    168767    35433    78498    160981    115007    94272    1518    125058    23795    45095    132490    184984    103750    134229    153218    158556    127297    11284
44,0.005947894578049883,131509    82732    170833    131272    143971    39114    147282    15816    69851    9280    144667    176287    8614    86961    87228    76425    19437    19455    31186    49928    127515    33116    46342    46352    140090    155395    156021    177297    167467    80314    81077    16359    160043    153758    75595    95252
45,0.0009094181758553392,139707    182901    156061    138585    186042    134229    126503    99111
46,0.0006093973780174317,77346
47,0.0001642701117899109,146777
48,0.0,146777
