Topic Number,Score,Documents
0,0.00618921308576481,121218    128993    135488    191578    29585    29748    86911
1,0.002652519893899204,132545    33654    90353
2,0.0008841732979664014,62157
3,0.0017683465959328027,166833    51873
4,0.07603890362511052,101146    10153    102181    107655    108632    111959    117765    118515    119020    120109    124382    126503    128000    130843    131272    132309    132490    132545    133197    133637    134128    136438    142499    142609    144474    146500    149550    152966    153794    159876    162628    165457    16787    168283    168722    171810    17295    173828    175135    175698    176172    177194    185309    186596    187138    187254    189656    190224    19455    21911    23505    25464    31581    33118    37065    39535    40833    43518    45876    48705    49021    52005    55141    55418    58215    60871    62379    72273    72421    73813    75965    75999    76414    82732    84219    84774    86393    8821    89575    91494    91785    91929    94587    94779    98287    99308
5,0.0008841732979664014,94455
6,0.0008841732979664014,59212
7,0.002652519893899204,132570    167229    31108
8,0.0008841732979664014,135940
9,0.01237842617152962,101651    103062    104927    105269    122270    146806    149754    156496    156879    164635    165574    44978    49409    9591
10,0.008841732979664015,124382    12474    132309    15747    164570    185309    40612    73813    78654    94587
11,0.0008841732979664014,20361
12,0.0008841732979664014,173833
13,0.0017683465959328027,172807    94286
14,0.0017683465959328027,101119    101185
15,0.014146772767462422,10120    107792    116711    128261    131109    13365    138827    177194    182447    28693    29748    30340    60403    61606    80709    87543
16,0.0017683465959328027,166331    40103
17,0.004420866489832007,151095    161789    20272    59180    94659
18,0.007957559681697613,11515    121181    139128    145627    175350    35335    5435    77510    77641
19,0.002652519893899204,171943    53371    82374
20,0.0008841732979664014,118610
21,0.004420866489832007,119831    126503    19748    21569    35182
22,0.002652519893899204,120751    91785    94272
23,0.00618921308576481,10153    173447    183494    34086    45765    45932    56363
24,0.0008841732979664014,151367
25,0.008841732979664015,107602    112878    131294    144474    145617    150028    176566    21666    46024    56360
26,0.0017683465959328027,63618    77640
27,0.002652519893899204,11284    34586    98259
28,0.00618921308576481,120215    130186    16339    179627    30930    58823    87692
29,0.0008841732979664014,120896
30,0.009725906277630416,106698    107362    120109    138585    15255    159487    172807    31838    57356    58823    62134
31,0.019451812555260833,108471    111247    121181    124678    1261    133685    140461    142760    146293    15756    159528    159673    164243    173789    182970    184430    191957    33889    40599    75308    76687    87221
32,0.0017683465959328027,127515    167467
33,0.002652519893899204,159528    159673    184984
34,0.0008841732979664014,55684
35,0.002652519893899204,106489    157707    1613
36,0.0008841732979664014,21225
37,0.0035366931918656055,132490    167720    39221    67995
38,0.004420866489832007,104047    116154    139982    173700    68194
39,0.0008841732979664014,149782
40,0.0008841732979664014,90761
41,0.0017683465959328027,14167    153758
42,0.0008841732979664014,76394
43,0.01856763925729443,103750    11284    115007    125058    127297    132490    134229    1518    153218    158556    160981    168767    184984    23795    35433    45095    6996    78498    8821    94272    97590
44,0.03183023872679045,127515    131272    131509    140090    143971    144667    147282    153758    155395    156021    15816    160043    16359    167467    170833    176287    177297    19437    19455    31186    33116    39114    46342    46352    49928    69851    75595    76425    80314    81077    82732    8614    86961    87228    9280    95252
45,0.007073386383731211,126503    134229    138585    139707    156061    182901    186042    99111
46,0.0008841732979664014,77346
47,0.0008841732979664014,146777
48,0.0,
49,0.007073386383731211,120981    127248    136762    19437    36135    42173    55685    83446
50,0.0008841732979664014,172608
51,0.0008841732979664014,26935
52,0.0008841732979664014,142965
53,0.005305039787798408,103750    111958    128261    187254    86961    93223
54,0.0017683465959328027,35335    35433
55,0.002652519893899204,105100    122457    162628
56,0.0035366931918656055,47936    58240    69091    77080
57,0.0017683465959328027,145617    34086
58,0.0008841732979664014,16950
59,0.0008841732979664014,81875
