Topic Number,Score,Documents
0,0.018423956421908593,137568    122746    149346    151967    221362    233056    266907    291191    313105    343089    57064
1,0.028042953914182864,206754    214512    220557    233840    237707    241395    266867    279326    287326    325737    338393
2,0.25735063112950607,137568    167410    167275    168059    168486    170058    176078    177775    178704    179807    180232    104442    108683    112402    121434    138896    122746    123857    130250    145078    149346    208052    208136    208471    211429    214512    218872    219064    220049    220557    221490    221720    228410    228526    230069    232143    232951    233498    233840    235468    237402    237707    238938    240306    241395    245389    247278    253065    253147    253250    255372    256449    256909    260621    261606    262669    263964    264641    266290    266867    266907    270352    270899    271328    272771    273592    274029    275150    277114    279690    286641    287326    287804    287978    289177    290061    290384    290672    291161    291191    293257    298714    300864    301532    309038    309269    310936    311061    312197    313105    313582    316229    316539    316775    317520    319381    322544    325737    327555    329077    330586    331079    331187    331883    332757    334852    336996    337937    338393    340487    341199    341491    343089    343943    343959    344218    344619    34773    349401    350399    350742    350778    352416    353122    357416    357672    359516    360462    360980    37294    57064    65538    7539    82364    82499    95988    15502    165650    116050    190397    20109    202691    203742    204421    204915    205562    206125
3,0.054914834237610725,137568    168059    179807    138896    130250    211085    219064    220049    221720    224980    228410    230131    253065    253147    253250    256449    273592    279690    287978    291191    301572    313582    340487    344619    34773    353122    357416    360980    37294    57064    73895    7539    84301    112402    20109    204421    206125
4,0.06185629132330622,167410    177775    180232    101114    149346    153080    221362    228410    232143    232951    233056    247278    262669    271328    275150    287326    290384    300864    301572    309269    313582    316450    316539    319381    322544    327555    331079    331883    336996    340487    343863    343943    343959    349401    353122    357672    112402    190397
5,0.037170089741549554,137568    208136    211085    211429    218872    221362    241395    247278    253065    263964    264641    270899    273592    274029    289177    290061    340487    341491    352416
6,0.01419857574262339,153080    240306    316775    344619    57064    204915
7,0.04998086584083431,168486    170058    221490    233056    233498    245389    256449    266290    275150    287896    288313    290061    293257    301532    306032    310936    311061    329077    334852    343943    349401    350742    153080    203742    204421
8,0.028123611766087697,208052    224980    270352    271990    301572    309038    316450    322544    338393    343089    34773    350778    180232    20109
9,0.043996449766957706,168059    173401    121434    138896    151967    219064    232951    237402    253147    255372    256449    266290    270899    271990    272771    287326    306032    308307    317520    334852    344218    350742    15502
10,0.04592443839046638,170522    101114    104442    108683    145078    206754    224980    228410    264641    266515    273592    290672    332757    336996    338393    343089    343863    349401    359516    84301    15502    112402    203742
11,0.02417195434304391,165650    208052    286641    290061    331079    337937    343863    185959    190397    204421
12,0.018568456880889272,130250    232143    237707    256909    317520    325737    331187
13,0.015294513848717002,170522    316229    327555    360462    82364    153080    202691
14,0.0369610583413994,167275    219064    220557    225903    232951    233056    260621    261923    271328    275150    291161    316539    319381    322544    341199    344218    357672    360980    7539
15,0.03429286549174939,168059    116050    123857    208471    220049    220557    238938    245389    262669    287978    291161    291191    309269    312197    330586    343959    344218    34773    353122    180232
16,0.05437485801133028,168059    170522    176078    138896    220557    253250    255372    256909    264641    266907    271990    272771    273592    286641    287804    287896    287978    291757    293257    308307    309038    310936    313105    325737    329077    331187    344218    360462    65538    185959    200334
17,0.04010431861221223,170522    179807    211429    221490    228526    230131    233498    245389    266515    275957    277114    287326    288313    298714    322544    336996    341199    357416    84301    121434    204915
18,0.0287576658188774,167410    168486    176078    178704    208471    218872    228410    230069    235468    261606    263964    357416    7539    95988    205562
19,0.009651088093625342,133538    211085    291757
