Topic Number,Score,Documents
0,0.0007602250217668195,618156    538659    58430    880261    408022    817502    691199    65860    750837    283361    451052    332901    301731
1,0.000436905624130375,26430    840064    788592    672292    67719    174376    274625    556166    564194
2,0.0005812688821771456,632270    865773    840271    790267    799624    800568    270756    691755    495496    658049    514901    197321    664811    499696    117013
3,0.0003289582300839903,410957    785288    237935    656626    230120    157899    157952    1486    512310
4,0.0019191082360731264,723021    725827    727827    728202    777638    779989    577863    580466    869651    875198    882210    509760    827902    830545    735029    735704    245911    641593    647611    652750    787326    473846    691840    488572    749081    513587    366969    367551    199106    559231    560356    742904    357918    372221    417102    418051    182688    414027    312476    313298    122703    402452    447822
5,0.0007458302293882512,62878    587837    652832    795450    398610    241879    451475    453631    472642    206085    294000    661567    742458    500858    372591    128222    262839    413438    461163    313334    315397
6,0.0004173393137963572,438943    531682    843459    235453    798826    271365
7,0.00045066361869367205,859561    792982    235014    137089    223584    373968    456215    277574    515334
8,0.0017900282340126944,623066    773893    774716    280379    848631    856508    856516    97857    98881    9904    387448    820372    833324    79525    807327    684732    684785    233825    235182    24121    468795    750304    16193    259145    346149    391776    367083    367755    505521    505678    50761    288385    593823    172796    172875    254782    12296    459627    571243    564639    520179    293226
9,0.0005040213807572066,440935    445118    713900    716640    581429    869280    803175    710981    464323    542598    231620    231906    288132    157952    327752
10,0.000945158173468551,618116    618618    534588    853862    91281    265709    830856    240062    241198    25643    33478    475619    282101    662689    144656    316851    104633    454611    457657    517253    133399    431458
11,0.00184592706055805,441002    442081    444120    714636    718939    622683    636844    539378    847810    861610    868862    880446    92289    765793    655456    790839    803055    676921    339924    688658    705894    710667    122416    540423    231259    744062    414157    158917    209177    455341    430175    360188
12,0.0010301655042944454,721755    122495    606727    631411    775540    280673    848774    855337    99908    286527    410957    821763    797415    809898    819963    683462    686015    699557    389163    23047    260729    282101    359664    349573    111573
13,0.001861997175492259,717028    729128    604155    604653    618344    584881    843629    849334    856126    858309    871048    871495    878452    90943    761445    735453    791601    817416    121892    468795    702587    488572    256522    749081    151382    385392    223584    664634    744141    333710    214799    574682    313298    424532    448140
14,0.00019515889501957353,613593    184508
15,0.0015734151358296285,440614    717028    72581    730888    480426    85122    869651    9517    264539    83656    522529    786449    681699    679970    343031    137669    75263    748861    514931    541112    389180    505217    108326    668221    157636    290108    459617    126132    118357    56850    570166    56542    309816    297651    185722
16,0.00026219110519814707,432361    738806    559725
17,0.000180121214127144,479074    760173    758165    363197    574551
18,0.0003938827497683928,863244    866755    387965    340935    563235    297980    510967    11456    564346
19,0.00021783393873493225,751935    474505    743717
