Topic Number,Score,Documents
0,0.0030842230130486356,283361    301731    332901    408022    451052    538659    58430    618156    65860    691199    750837    817502    880261
1,0.002135231316725979,174376    26430    274625    556166    564194    672292    67719    788592    840064
2,0.0035587188612099642,117013    197321    270756    495496    499696    514901    632270    658049    664811    691755    790267    799624    800568    840271    865773
3,0.002135231316725979,1486    157899    157952    230120    237935    410957    512310    656626    785288
4,0.010201660735468564,122703    182688    199106    245911    312476    313298    357918    366969    367551    372221    402452    414027    417102    418051    447822    473846    488572    509760    513587    559231    560356    577863    580466    641593    647611    652750    691840    723021    725827    727827    728202    735029    735704    742904    749081    777638    779989    787326    827902    830545    869651    875198    882210
5,0.00498220640569395,128222    206085    241879    262839    294000    313334    315397    372591    398610    413438    451475    453631    461163    472642    500858    587837    62878    652832    661567    742458    795450
6,0.0014234875444839859,235453    271365    438943    531682    798826    843459
7,0.002135231316725979,137089    223584    235014    277574    373968    456215    515334    792982    859561
8,0.0099644128113879,12296    16193    172796    172875    233825    235182    24121    254782    259145    280379    288385    293226    346149    367083    367755    387448    391776    459627    468795    505521    505678    50761    520179    564639    571243    593823    623066    684732    684785    750304    773893    774716    79525    807327    820372    833324    848631    856508    856516    97857    98881    9904
9,0.0035587188612099642,157952    231620    231906    288132    327752    440935    445118    464323    542598    581429    710981    713900    716640    803175    869280
10,0.005219454329774615,104633    133399    144656    240062    241198    25643    265709    282101    316851    33478    431458    454611    457657    475619    517253    534588    618116    618618    662689    830856    853862    91281
11,0.007591933570581257,122416    158917    209177    231259    339924    360188    414157    430175    441002    442081    444120    455341    539378    540423    622683    636844    655456    676921    688658    705894    710667    714636    718939    744062    765793    790839    803055    847810    861610    868862    880446    92289
12,0.005931198102016607,111573    122495    23047    260729    280673    282101    286527    349573    359664    389163    410957    606727    631411    683462    686015    699557    721755    775540    797415    809898    819963    821763    848774    855337    99908
13,0.00830367734282325,121892    151382    214799    223584    256522    313298    333710    385392    424532    448140    468795    488572    574682    584881    604155    604653    618344    664634    702587    717028    729128    735453    744141    749081    761445    791601    817416    843629    849334    856126    858309    871048    871495    878452    90943
14,0.00047449584816132857,184508    613593
15,0.00830367734282325,108326    118357    126132    137669    157636    185722    264539    290108    297651    309816    343031    389180    440614    459617    480426    505217    514931    522529    541112    56542    56850    570166    668221    679970    681699    717028    72581    730888    748861    75263    786449    83656    85122    869651    9517
16,0.0007117437722419929,432361    559725    738806
17,0.0011862396204033216,363197    479074    574551    758165    760173
18,0.002135231316725979,11456    297980    340935    387965    510967    563235    564346    863244    866755
19,0.0007117437722419929,474505    743717    751935
20,0.07544483985765124,106340    11456    117013    120337    121644    122156    126696    130667    132205    134022    13647    136957    139133    139343    140354    15030    151739    152210    152492    153366    157952    160169    160832    161729    162713    165371    166450    168787    173795    174376    175137    179538    180271    18495    189348    193391    193462    200349    200615    203133    20401    207161    209960    214312    214799    221874    223584    225771    225858    228701    232824    232838    239667    241140    247051    248915    249632    251760    259145    26004    260501    261517    264078    266108    266714    273532    274041    274651    276925    277129    278418    280350    281245    282030    282101    299857    299904    302324    308897    314502    316390    327752    333126    336168    339324    339485    340935    341214    343236    345348    345775    345823    34783    349573    355731    358772    358900    361671    363127    364471    36554    36589    367083    369315    372591    376722    382202    385414    387965    388096    388873    391776    394583    397724    398851    400797    407703    407832    407996    410370    411437    414157    416969    417102    417332    418051    418339    434531    434568    437399    440154    441064    442282    442630    444920    451052    451475    453612    454337    454369    454742    456451    457268    459505    469383    469935    470844    471215    471279    472286    475619    482574    488268    488967    490279    490672    495533    496310    499468    505217    506074    51247    512600    515906    520179    530481    537881    540393    543154    543424    546469    54941    560598    561285    561930    56415    565167    565417    569885    571798    574977    581540    581594    581713    584296    591048    591080    591732    592308    593598    593823    596558    597951    606727    607563    609393    611691    618618    62789    628826    630203    633681    635287    637129    640758    644162    644298    647005    658049    659879    663185    664811    666999    672292    672702    672885    673159    680041    680939    683352    685313    686015    691199    697334    699790    703477    703998    706775    707565    70766    709608    717028    718100    718238    721755    721937    725186    726387    727646    729447    730924    731534    736487    738526    741303    742117    743003    743823    744847    746651    751702    75451    759879    760383    762996    765368    765591    766235    771046    771647    774867    784110    784285    784944    787025    794921    796333    802934    803055    803081    805189    807327    807933    810044    813532    813871    819129    819219    821779    822120    825176    827524    82846    83194    83434    836445    840631    841549    844112    845603    846677    847564    848828    851931    854386    856508    856516    857072    857180    859962    86010    864949    866637    868862    869212    870190    870811    870925    873054    876139    877415    879112    879401    879453    882003    884901    97857    9904
21,0.01613285883748517,146913    205916    209177    223584    251555    284729    333710    345281    35368    360280    394676    410527    410536    415375    423025    431466    447370    45353    457657    469949    480426    488268    490672    495893    508905    519238    527706    530867    535264    557100    575743    579384    581429    584402    607451    631702    639128    643254    664811    675441    676623    679639    690722    694707    694965    703087    703477    705300    729128    732395    734527    739109    746458    764753    769945    770280    778775    792873    793248    797164    810885    815346    826573    852762    857960    866241    868862    870925
22,0.0026097271648873074,166366    175675    214815    287616    361757    594994    673250    703760    725692    855656    90943
23,0.00047449584816132857,284248    844112
24,0.0018979833926453143,193071    216837    392299    406522    406863    44659    65291    819666
25,0.0035587188612099642,156318    195671    249682    366324    369315    372809    374847    432935    446195    469935    54941    585710    623066    650198    829712
26,0.0009489916963226571,750837    826606    836848    865773
27,0.004744958481613286,138916    158484    163412    188696    197321    203648    216231    225375    275683    317685    330546    34783    40681    420851    477162    595077    659027    848400    854386    96255
