Topic Number,Score,Documents
0,0.0007168337687638456,912793    670319    1213348    1136081
1,0.000562755495917781,1109586    1241800    643203    1233901
2,0.00031319626501672706,255025    442868
3,0.0028609736018166488,72726    581108    199530    532586    591296    1095267    987196    163016    685753    556630    220885    1153055    1118391    1076525    1191030    1245972    1198848    149961
4,0.0023543227414855703,763075    1039710    856129    72726    286195    540294    381083    590125    347327    924866    523899    109953    1022314    360067    459119    1018121    326437    639663    1197911
5,0.00036534756047150636,330971    559879
6,0.00034979783636119937,904194    417040    326437
7,0.0005436102769132057,51595    421064    222912    243517
8,0.004691848479551227,306162    307081    899079    907391    766538    278006    404630    1258473    1181937    194520    597122    169562    525653    591296    924866    1037517    493109    208088    564834    570790    226628    236866    697587    667996    612562    617869    1017733    720636    74670    1003362    1207693    108358    1233901    444779    446835    1201435    1265476    183943    1197911
9,0.003060717830083192,307081    835632    265137    1180344    28567    286195    277280    984859    65375    865289    528139    1095267    377669    750052    570637    697587    699979    678683    138774    254557    1003362    747000    474211    398983    1140604    1213348    511557
10,0.00027391718361422337,354348    1211681
11,0.0012173220346601086,770762    649043    921462    433955    689086    1122592    91933    702897
12,0.0002588159637161204,470245    1249662
13,0.0012935368149363522,284386    292309    1216130    533341    1106699    427352    618612    550499    702777
14,0.0010819833949019867,1113354    1250178    640902
15,0.0011103418259846923,1183795    330971    107536    218117    219401    312603    677723    596030
16,0.00025331856304956605,716298    507792
17,0.0016216221743981473,1168448    953942    590834    145327    351387
18,0.0007199137915328319,1195038    320719    665295    1217233    1136792
19,0.00022102150078325494,589846
20,0.0009584748998537003,1169643    603418    334567    473701    509926
21,0.0052009699708423255,848923    706585    728134    409158    959332    965458    1128903    583234    384660    411507    597122    1221609    331251    482053    487780    167955    51418    255663    1037517    1007674    570637    577226    559879    1019780    1195933    392023    719254    1075911    241613    475826    1260214    806712    82455    1162502    873795
22,0.0006791137316154293,337371    976818    205317    205437    890347
23,0.00014070205062508592,1207747
24,0.0008728405443384174,314422    406901    426334
25,0.0005893406379985153,1168448    145327    351387    809803
26,0.0004638609798169175,1267824    1139863
27,0.00033653573399754726,852655    515548    1105647
28,0.0005655959103094355,1116601    1013831
29,0.0006499856112201537,625745    879612
30,0.0003928466298692974,518431    165224    394103    118527
31,0.0003769280190370122,409158    932885    349351
32,0.0005721160851460144,381700    921096    360067
33,0.0006995377453286485,565911    252951    1195038    706761    1228853
34,0.0004940530335409444,654128    744167
35,0.0008002182983571489,789124    1129976    203212    321385    1211775    868891
36,0.0004045094864348927,265039
37,0.0015827704947486531,835632    263520    713926    189128    212636    1211681    550778    360067    296009    1118391    732812    1229415    1053447    1058602    702256
38,0.00017640118377415244,1180344
39,0.00023761233076232362,782208
40,0.0004836230741944009,1081758    570735
41,0.0007263585112119944,905365    406901    1186419    828876    916686    105315
42,0.0034344325903338147,848572    1081758    863098    121515    577933    866380    1219119    1063970    987196    759791    699804    67291    283806    1113354    1077812    716809    720636    589634    394920    173833    511781    1003997    258780    892172    702256
43,0.0005966097966887668,633547    212821    878606
44,0.0003649809300267763,1174143    655336
45,0.0005517156110108649,1272565    106408    595662
46,0.00025819891794322096,597119
47,0.003799241506446368,625975    90439    773672    583930    603418    943433    1219620    1223678    830000    1060515    1158881    201628    920690    521945    334567    1129976    426903    699804    678683    612930    613221    1074302    1058175    309097    444779    152565    1241154
48,0.0013191154858855378,794465    301805    179933    418575    433399    476212    594545    105010    1233901    1025673    183355
49,0.004244652442550914,316578    899079    852129    852655    726631    290089    338312    407782    964969    982620    597312    604140    532587    179933    488063    49569    913761    423106    614054    620148    1113354    1246722    1161689    1146476    747000    359611    359979    732812    1207693    1112619    1021600    916726    1216150    1037035    1249662    147975    149961    887605
50,0.0008805267288581725,710668    588249    412006    493684    232317    299279    103314    869419
51,0.00039825753799010223,1261133
52,0.0007720078562572723,422089    614654    1000529    1137056
53,0.0005917030191504878,836748    571870    136041    247847    1207620
54,0.003252616052977241,626386    908986    804633    805336    338312    40125    863098    98377    412006    414343    537600    135802    214042    206635    421064    427352    433955    1099077    615039    617275    293032    476212    596525    736213    740321    91960    1091059    888928    889555
55,0.0004410733228409301,766903    199530    1162900
56,0.0006448557635184752,90439    344956    320351    724990
57,0.0006920021061859353,350133    715678    932013
58,0.0004979670738262167,977892    366582    1262968
59,0.00038145381853557224,748465
60,0.00314836896177428,899079    852129    277280    799926    976340    984859    525653    923030    913761    1028149    671504    359979    454728    477071    1095399    1208989    44684    1216771    1267355    1229495    871364
61,0.00037544671255727,928075    914261
62,0.0015205610933844002,89772    272294    343738    406297    169562    570735    623757    360578    1017884    398983    212821    1250178
63,0.0001974362704283666,492306
64,0.0006713942754518159,404630    212636    442868    220885    254557    1048398
65,0.00022183768006580294,749309    1143791
66,0.00014627749372484914,1094734
67,0.00016714765181388388,303840
68,0.0008995275585391301,844711    704293    1188690    220731    1236841    1076931    1056111    1241154
69,0.00018831449910532724,996891
70,0.000865544475397042,797463    387379    612930    613221
71,0.0002782574719295222,826951    670319    140264
72,0.00031342150101470556,957399
73,0.0014184097291850054,279412    581108    168850    515548    226744    666205    618612    222305    1258932    1095267
74,0.00038756982926289066,1207693    220885
75,0.0026034619752167785,307729    844996    340298    406901    932885    555283    1195038    300503    1033985    46592    594545    82455    1207882    1216150    185486    870220
76,0.00024164305856239307,377669
77,0.002318544675021044,744996    842651    848572    800734    65035    171733    930338    516162    256861    564834    699326    1174859    739438    740055    1216771    135375    1246712
78,0.0006740530099240668,480992    167955    1074302    473701    1260214
79,0.0005044957569354804,919935    115686
80,0.0004284385260290877,864746    203212
81,0.0006898672227421745,770813    709776    44427    125057    748175    1259515
82,0.0005194241485312142,1041334    501493    915888
83,0.0002478506576896617,832039    588249
84,0.0010294110567418034,536013    1014607    420143    748175    239037    321385    1007674
85,0.0003298861944664777,135375    871363
86,0.0037271929462933387,907391    1155407    836748    1267922    266849    290089    402792    98377    1108400    384660    542174    543569    604140    1219620    379986    357111    216859    565911    222305    1174859    1192361    1083134    740055    1143791    321370    177142    1065878    643203    507792    883161
87,0.00017681603327113115,69535
88,0.0012887079367564982,897029    350133    379986    389340    514066    474256    476212    105010    103222    261488    660887
89,0.0013900352950483538,763075    587138    382554    1162900    1174408    687187    644358    447111    180281
90,0.0005014237338591861,1198464
91,0.0005139842321409527,387768    1190902
92,0.0003697871507566605,547959    1159021
93,0.0005127539153765411,104732
