Topic Number,Score,Documents
0,0.003137254901960784,1136081    1213348    670319    912793
1,0.003137254901960784,1109586    1233901    1241800    643203
2,0.001568627450980392,255025    442868
3,0.01411764705882353,1076525    1095267    1118391    1153055    1191030    1198848    1245972    149961    163016    199530    220885    532586    556630    581108    591296    685753    72726    987196
4,0.014901960784313726,1018121    1022314    1039710    109953    1197911    286195    326437    347327    360067    381083    459119    523899    540294    590125    639663    72726    763075    856129    924866
5,0.001568627450980392,330971    559879
6,0.002352941176470588,326437    417040    904194
7,0.003137254901960784,222912    243517    421064    51595
8,0.03058823529411765,1003362    1017733    1037517    108358    1181937    1197911    1201435    1207693    1233901    1258473    1265476    169562    183943    194520    208088    226628    236866    278006    306162    307081    404630    444779    446835    493109    525653    564834    570790    591296    597122    612562    617869    667996    697587    720636    74670    766538    899079    907391    924866
9,0.021176470588235293,1003362    1095267    1140604    1180344    1213348    138774    254557    265137    277280    28567    286195    307081    377669    398983    474211    511557    528139    570637    65375    678683    697587    699979    747000    750052    835632    865289    984859
10,0.001568627450980392,1211681    354348
11,0.006274509803921568,1122592    433955    649043    689086    702897    770762    91933    921462
12,0.001568627450980392,1249662    470245
13,0.007058823529411765,1106699    1216130    284386    292309    427352    533341    550499    618612    702777
14,0.002352941176470588,1113354    1250178    640902
15,0.006274509803921568,107536    1183795    218117    219401    312603    330971    596030    677723
16,0.001568627450980392,507792    716298
17,0.00392156862745098,1168448    145327    351387    590834    953942
18,0.00392156862745098,1136792    1195038    1217233    320719    665295
19,0.000784313725490196,589846
20,0.00392156862745098,1169643    334567    473701    509926    603418
21,0.027450980392156862,1007674    1019780    1037517    1075911    1128903    1162502    1195933    1221609    1260214    167955    241613    255663    331251    384660    392023    409158    411507    475826    482053    487780    51418    559879    570637    577226    583234    597122    706585    719254    728134    806712    82455    848923    873795    959332    965458
22,0.00392156862745098,205317    205437    337371    890347    976818
23,0.000784313725490196,1207747
24,0.002352941176470588,314422    406901    426334
25,0.003137254901960784,1168448    145327    351387    809803
26,0.001568627450980392,1139863    1267824
27,0.002352941176470588,1105647    515548    852655
28,0.001568627450980392,1013831    1116601
29,0.001568627450980392,625745    879612
30,0.003137254901960784,118527    165224    394103    518431
31,0.002352941176470588,349351    409158    932885
32,0.002352941176470588,360067    381700    921096
33,0.00392156862745098,1195038    1228853    252951    565911    706761
34,0.001568627450980392,654128    744167
35,0.004705882352941176,1129976    1211775    203212    321385    789124    868891
36,0.000784313725490196,265039
37,0.011764705882352941,1053447    1058602    1118391    1211681    1229415    189128    212636    263520    296009    360067    550778    702256    713926    732812    835632
38,0.000784313725490196,1180344
39,0.000784313725490196,782208
40,0.001568627450980392,1081758    570735
41,0.004705882352941176,105315    1186419    406901    828876    905365    916686
42,0.0196078431372549,1003997    1063970    1077812    1081758    1113354    121515    1219119    173833    258780    283806    394920    511781    577933    589634    67291    699804    702256    716809    720636    759791    848572    863098    866380    892172    987196
43,0.002352941176470588,212821    633547    878606
44,0.001568627450980392,1174143    655336
45,0.002352941176470588,106408    1272565    595662
46,0.000784313725490196,597119
47,0.021176470588235293,1058175    1060515    1074302    1129976    1158881    1219620    1223678    1241154    152565    201628    309097    334567    426903    444779    521945    583930    603418    612930    613221    625975    678683    699804    773672    830000    90439    920690    943433
48,0.008627450980392156,1025673    105010    1233901    179933    183355    301805    418575    433399    476212    594545    794465
49,0.02980392156862745,1021600    1037035    1112619    1113354    1146476    1161689    1207693    1216150    1246722    1249662    147975    149961    179933    290089    316578    338312    359611    359979    407782    423106    488063    49569    532587    597312    604140    614054    620148    726631    732812    747000    852129    852655    887605    899079    913761    916726    964969    982620
50,0.006274509803921568,103314    232317    299279    412006    493684    588249    710668    869419
51,0.000784313725490196,1261133
52,0.003137254901960784,1000529    1137056    422089    614654
53,0.00392156862745098,1207620    136041    247847    571870    836748
54,0.022745098039215685,1091059    1099077    135802    206635    214042    293032    338312    40125    412006    414343    421064    427352    433955    476212    537600    596525    615039    617275    626386    736213    740321    804633    805336    863098    888928    889555    908986    91960    98377
55,0.002352941176470588,1162900    199530    766903
56,0.003137254901960784,320351    344956    724990    90439
57,0.002352941176470588,350133    715678    932013
58,0.002352941176470588,1262968    366582    977892
59,0.000784313725490196,748465
60,0.01647058823529412,1028149    1095399    1208989    1216771    1229495    1267355    277280    359979    44684    454728    477071    525653    671504    799926    852129    871364    899079    913761    923030    976340    984859
61,0.001568627450980392,914261    928075
62,0.009411764705882352,1017884    1250178    169562    212821    272294    343738    360578    398983    406297    570735    623757    89772
63,0.000784313725490196,492306
64,0.004705882352941176,1048398    212636    220885    254557    404630    442868
65,0.001568627450980392,1143791    749309
66,0.000784313725490196,1094734
67,0.000784313725490196,303840
68,0.006274509803921568,1056111    1076931    1188690    1236841    1241154    220731    704293    844711
69,0.000784313725490196,996891
70,0.003137254901960784,387379    612930    613221    797463
71,0.002352941176470588,140264    670319    826951
72,0.000784313725490196,957399
73,0.00784313725490196,1095267    1258932    168850    222305    226744    279412    515548    581108    618612    666205
74,0.001568627450980392,1207693    220885
75,0.012549019607843137,1033985    1195038    1207882    1216150    185486    300503    307729    340298    406901    46592    555283    594545    82455    844996    870220    932885
76,0.000784313725490196,377669
77,0.013333333333333334,1174859    1216771    1246712    135375    171733    256861    516162    564834    65035    699326    739438    740055    744996    800734    842651    848572    930338
78,0.00392156862745098,1074302    1260214    167955    473701    480992
79,0.001568627450980392,115686    919935
80,0.001568627450980392,203212    864746
81,0.004705882352941176,125057    1259515    44427    709776    748175    770813
82,0.002352941176470588,1041334    501493    915888
83,0.001568627450980392,588249    832039
84,0.005490196078431373,1007674    1014607    239037    321385    420143    536013    748175
85,0.001568627450980392,135375    871363
86,0.023529411764705882,1065878    1083134    1108400    1143791    1155407    1174859    1192361    1219620    1267922    177142    216859    222305    266849    290089    321370    357111    379986    384660    402792    507792    542174    543569    565911    604140    643203    740055    836748    883161    907391    98377
87,0.000784313725490196,69535
88,0.008627450980392156,103222    105010    261488    350133    379986    389340    474256    476212    514066    660887    897029
89,0.007058823529411765,1162900    1174408    180281    382554    447111    587138    644358    687187    763075
90,0.000784313725490196,1198464
91,0.001568627450980392,1190902    387768
92,0.001568627450980392,1159021    547959
93,0.000784313725490196,104732
94,0.00392156862745098,1112619    185155    319743    339990    617869
95,0.00392156862745098,1096075    301805    720636    739509    794465
96,0.000784313725490196,512660
97,0.000784313725490196,856198
98,0.000784313725490196,1268913
99,0.002352941176470588,1273240    666093    934595
100,0.002352941176470588,358387    563727    63181
101,0.007058823529411765,1260464    1264832    1273240    168850    309244    445959    559194    805725    854516
102,0.002352941176470588,129534    194066    690041
103,0.00392156862745098,1135383    593478    606167    726631    957994
104,0.004705882352941176,1095267    1109748    1258932    244737    336248    504480
105,0.000784313725490196,1264211
106,0.01019607843137255,1216771    176165    208914    330971    36649    377669    392023    565622    67291    68229    740055    848572    931672
107,0.002352941176470588,608644    888928    925891
