LABEL,AE,DB,SO,SE,SF,SU
TOTAL QUESTIONS,183,1131,53532,177,4215,1275
QUESTIONS WITH ACCEPTED ANS,50,555,26503,102,2157,541


Views Median,574.0,368.0,349.0,444.0,565.0,538.0
"Views Quartiles (Q1, Q3)","(115.5, 2431.0)","(102.0, 1453.5)","(96.0, 1248.0)","(176.0, 1449.0)","(175.0, 1880.5)","(111.0, 2354.5)"
"Views Max Min (Min, Max)","(9.0, 5629.0)","(11.0, 3474.0)","(3.0, 2976.0)","(28.0, 3332.0)","(3.0, 4426.0)","(6.0, 5697.0)"


Ans Count Median,1.0,1.0,1.0,2.0,1.0,1.0
"Ans Count Quartiles (Q1, Q3)","(0.0, 1.5)","(1.0, 2.0)","(1.0, 2.0)","(1.0, 3.0)","(1.0, 2.0)","(1.0, 2.0)"
"Ans Count Max Min (Min, Max)","(0.0, 3.0)","(0.0, 3.0)","(0.0, 3.0)","(0.0, 6.0)","(0.0, 3.0)","(0.0, 3.0)"
